category,year,month_num,total_qty,avg_discount,prev_month_qty,qty_change_pct
Furniture,2011,1,246,17.67,NULL,NULL
Furniture,2011,2,230,14,246,-6.50
Furniture,2011,3,357,17.12,230,55.22
Furniture,2011,4,336,19.62,357,-5.88
Furniture,2011,5,378,18.88,336,12.50
Furniture,2011,6,697,22.84,378,84.39
Furniture,2011,7,315,20.73,697,-54.81
Furniture,2011,8,583,15.06,315,85.08
Furniture,2011,9,763,15.35,583,30.87
Furniture,2011,10,612,14.37,763,-19.79
Furniture,2011,11,771,16.71,612,25.98
Furniture,2011,12,1021,16.85,771,32.43
Furniture,2012,1,396,18.03,1021,-61.21
Furniture,2012,2,290,15.08,396,-26.77
Furniture,2012,3,457,22.28,290,57.59
Furniture,2012,4,422,18.23,457,-7.66
Furniture,2012,5,488,14.97,422,15.64
Furniture,2012,6,718,16.87,488,47.13
Furniture,2012,7,466,15.84,718,-35.10
Furniture,2012,8,647,14.1,466,38.84
Furniture,2012,9,803,15.55,647,24.11
Furniture,2012,10,657,16.57,803,-18.18
Furniture,2012,11,1138,16.83,657,73.21
Furniture,2012,12,797,15.75,1138,-29.96
Furniture,2013,1,544,16.22,797,-31.74
Furniture,2013,2,453,16.02,544,-16.73
Furniture,2013,3,582,17.66,453,28.48
Furniture,2013,4,529,18.32,582,-9.11
Furniture,2013,5,745,17.09,529,40.83
Furniture,2013,6,963,16.93,745,29.26
Furniture,2013,7,657,15.49,963,-31.78
Furniture,2013,8,886,16.31,657,34.86
Furniture,2013,9,1169,17.89,886,31.94
Furniture,2013,10,866,17.74,1169,-25.92
Furniture,2013,11,1084,14.95,866,25.17
Furniture,2013,12,1222,17.5,1084,12.73
Furniture,2014,1,560,15.12,1222,-54.17
Furniture,2014,2,477,16.64,560,-14.82
Furniture,2014,3,740,15.78,477,55.14
Furniture,2014,4,732,17.44,740,-1.08
Furniture,2014,5,857,18.09,732,17.08
Furniture,2014,6,1080,16.42,857,26.02
Furniture,2014,7,727,16.5,1080,-32.69
Furniture,2014,8,960,15.7,727,32.05
Furniture,2014,9,1382,17.22,960,43.96
Furniture,2014,10,1163,15.52,1382,-15.85
Furniture,2014,11,1453,16.44,1163,24.94
Furniture,2014,12,1535,18.03,1453,5.64
"Office Supplies",2011,1,997,16.44,NULL,NULL
"Office Supplies",2011,2,695,12.45,997,-30.29
"Office Supplies",2011,3,1136,12.87,695,63.45
"Office Supplies",2011,4,1295,12.41,1136,14.00
"Office Supplies",2011,5,1184,13.59,1295,-8.57
"Office Supplies",2011,6,1802,16.07,1184,52.20
"Office Supplies",2011,7,1096,14.72,1802,-39.18
"Office Supplies",2011,8,1817,13.58,1096,65.78
"Office Supplies",2011,9,2376,12.17,1817,30.76
"Office Supplies",2011,10,1591,14.3,2376,-33.04
"Office Supplies",2011,11,2458,15.74,1591,54.49
