category,sale_date,daily_qty,rolling_30day_avg
Furniture,2011-01-01,5,5.00
Furniture,2011-01-03,16,10.50
Furniture,2011-01-04,7,9.33
Furniture,2011-01-05,1,7.25
Furniture,2011-01-06,3,6.40
Furniture,2011-01-07,11,7.17
Furniture,2011-01-08,15,8.29
Furniture,2011-01-10,3,7.63
Furniture,2011-01-11,23,9.33
Furniture,2011-01-12,12,9.60
Furniture,2011-01-14,15,10.09
Furniture,2011-01-15,10,10.08
Furniture,2011-01-17,6,9.77
Furniture,2011-01-19,2,9.21
Furniture,2011-01-20,12,9.40
Furniture,2011-01-21,23,10.25
Furniture,2011-01-22,15,10.53
Furniture,2011-01-23,7,10.33
Furniture,2011-01-24,7,10.16
Furniture,2011-01-25,1,9.70
Furniture,2011-01-26,18,10.10
Furniture,2011-01-27,10,10.09
Furniture,2011-01-28,3,9.78
Furniture,2011-01-29,4,9.54
Furniture,2011-01-30,2,9.24
Furniture,2011-01-31,15,9.46
Furniture,2011-02-01,8,9.41
Furniture,2011-02-02,18,9.71
Furniture,2011-02-04,2,9.45
Furniture,2011-02-05,3,9.23
Furniture,2011-02-08,3,9.17
Furniture,2011-02-09,25,9.47
Furniture,2011-02-10,16,9.77
Furniture,2011-02-11,2,9.80
Furniture,2011-02-12,14,10.17
Furniture,2011-02-13,2,9.87
Furniture,2011-02-14,7,9.60
Furniture,2011-02-15,17,10.07
Furniture,2011-02-16,25,10.13
Furniture,2011-02-17,5,9.90
Furniture,2011-02-18,3,9.50
Furniture,2011-02-19,5,9.33
Furniture,2011-02-21,13,9.57
Furniture,2011-02-22,3,9.60
Furniture,2011-02-23,14,9.67
Furniture,2011-02-24,5,9.07
Furniture,2011-02-25,3,8.67
Furniture,2011-02-26,20,9.10
Furniture,2011-02-28,17,9.43
Furniture,2011-03-01,48,11.00
Furniture,2011-03-02,18,11.00
Furniture,2011-03-03,26,11.53
Furniture,2011-03-07,10,11.77
Furniture,2011-03-08,16,12.17
Furniture,2011-03-09,6,12.30
Furniture,2011-03-10,13,12.23
Furniture,2011-03-11,10,12.30
Furniture,2011-03-12,8,11.97
Furniture,2011-03-14,6,12.10
Furniture,2011-03-15,8,12.27
Furniture,2011-03-16,3,12.27
Furniture,2011-03-17,14,11.90
Furniture,2011-03-18,21,12.07
Furniture,2011-03-19,6,12.20
Furniture,2011-03-21,26,12.60
Furniture,2011-03-22,9,12.83
Furniture,2011-03-23,14,13.07
Furniture,2011-03-24,4,12.63
Furniture,2011-03-25,10,12.13
Furniture,2011-03-28,12,12.37
Furniture,2011-03-29,18,12.87
Furniture,2011-03-30,28,13.63
Furniture,2011-03-31,23,13.97
Furniture,2011-04-01,10,14.20
Furniture,2011-04-02,2,13.80
Furniture,2011-04-04,15,14.13
Furniture,2011-04-05,7,14.27
Furniture,2011-04-06,19,14.23
Furniture,2011-04-07,8,13.93
Furniture,2011-04-08,14,12.80
Furniture,2011-04-11,5,12.37
Furniture,2011-04-12,8,11.77
Furniture,2011-04-13,10,11.77
Furniture,2011-04-14,4,11.37
Furniture,2011-04-15,17,11.73
Furniture,2011-04-16,9,11.60
Furniture,2011-04-18,12,11.67
Furniture,2011-04-19,29,12.37
Furniture,2011-04-20,18,12.77
Furniture,2011-04-21,19,13.13
Furniture,2011-04-22,33,14.13
Furniture,2011-04-23,11,14.03
Furniture,2011-04-25,19,13.97
Furniture,2011-04-26,7,14.00
Furniture,2011-04-27,21,13.83
Furniture,2011-04-28,10,13.87
Furniture,2011-04-29,10,13.73
Furniture,2011-04-30,19,14.23
Furniture,2011-05-02,20,14.57
Furniture,2011-05-03,7,14.40
Furniture,2011-05-04,30,14.80
Furniture,2011-05-05,16,14.40
Furniture,2011-05-06,25,14.47
Furniture,2011-05-07,7,14.37
Furniture,2011-05-08,3,14.40
Furniture,2011-05-09,17,14.47
Furniture,2011-05-10,15,14.73
Furniture,2011-05-11,16,14.63
Furniture,2011-05-12,28,15.30
Furniture,2011-05-13,12,15.23
Furniture,2011-05-14,13,15.50
Furniture,2011-05-16,5,15.40
Furniture,2011-05-17,1,15.10
Furniture,2011-05-18,27,15.87
Furniture,2011-05-19,10,15.63
Furniture,2011-05-20,13,15.77
Furniture,2011-05-21,28,16.30
Furniture,2011-05-23,7,15.57
Furniture,2011-05-24,6,15.17
Furniture,2011-05-25,8,14.80
Furniture,2011-05-26,10,14.03
Furniture,2011-05-27,24,14.47
Furniture,2011-05-28,3,13.93
Furniture,2011-05-30,15,14.20
